省份:天津 学院:国际翻译学院 专业:外国语言文学类 信息:文理科：文科，2016年最高分：605，最低分：603，平均分：604；2015年最高分：615，最低分：613，平均分：614；2014年最高分：595，最低分：591，平均分：593
省份:天津 学院:岭南学院 专业:经济学类 信息:文理科：文科，2016年最高分：628，最低分：626，平均分：627；2015年最高分：630，最低分：620，平均分：625；2014年最高分：624，最低分：599，平均分：612
省份:天津 学院:社会学与人类学学院 专业:人类学 信息:文理科：文科，2016年最高分：604，最低分：603，平均分：604；2015年最高分：619，最低分：613，平均分：615；2014年最高分：598，最低分：591，平均分：595
省份:天津 学院:外国语学院 专业:法语 信息:文理科：文科，2016年最高分：603，最低分：603，平均分：603；2015年最高分：614，最低分：614，平均分：614；2014年最高分：594，最低分：594，平均分：594
省份:天津 学院:外国语学院 专业:英语 信息:文理科：文科，2016年最高分：611，最低分：611，平均分：611；2015年最高分：619，最低分：619，平均分：619；2014年最高分：592，最低分：592，平均分：592
省份:天津 学院:中国语言文学系（珠海） 专业:汉语言文学 信息:文理科：文科，2016年最高分：620，最低分：604，平均分：612；2015年最高分：未知，最低分：未知，平均分：未知；2014年最高分：未知，最低分：未知，平均分：未知
省份:天津 学院:电子与信息工程学院 专业:电子信息类 信息:文理科：理科，2016年最高分：634，最低分：630，平均分：632；2015年最高分：649，最低分：647，平均分：648；2014年最高分：639，最低分：624，平均分：632
省份:天津 学院:公共卫生学院 专业:预防医学 信息:文理科：理科，2016年最高分：628，最低分：623，平均分：626；2015年最高分：641，最低分：636，平均分：639；2014年最高分：622，最低分：621，平均分：622
省份:天津 学院:管理学院 专业:工商管理类 信息:文理科：理科，2016年最高分：650，最低分：646，平均分：648；2015年最高分：652，最低分：651，平均分：652；2014年最高分：639，最低分：635，平均分：637
省份:天津 学院:光华口腔医学院 专业:口腔医学 信息:文理科：理科，2016年最高分：641，最低分：636，平均分：639；2015年最高分：652，最低分：648，平均分：650；2014年最高分：653，最低分：647，平均分：650
省份:天津 学院:国际翻译学院 专业:外国语言文学类 信息:文理科：理科，2016年最高分：629，最低分：629，平均分：629；2015年最高分：未知，最低分：未知，平均分：未知；2014年最高分：未知，最低分：未知，平均分：未知
省份:天津 学院:国际金融学院 专业:经济学类 信息:文理科：理科，2016年最高分：648，最低分：644，平均分：646；2015年最高分：651，最低分：651，平均分：651；2014年最高分：634，最低分：633，平均分：634
省份:天津 学院:海洋科学学院 专业:海洋科学 信息:文理科：理科，2016年最高分：621，最低分：621，平均分：621；2015年最高分：648，最低分：648，平均分：648；2014年最高分：627，最低分：627，平均分：627
省份:天津 学院:化学工程与技术学院 专业:化学工程与工艺 信息:文理科：理科，2016年最高分：625，最低分：622，平均分：624；2015年最高分：未知，最低分：未知，平均分：未知；2014年最高分：未知，最低分：未知，平均分：未知
省份:天津 学院:岭南学院 专业:经济学类 信息:文理科：理科，2016年最高分：653，最低分：651，平均分：652；2015年最高分：653，最低分：652，平均分：653；2014年最高分：625，最低分：621，平均分：623
省份:天津 学院:旅游学院 专业:旅游管理类 信息:文理科：理科，2016年最高分：628，最低分：627，平均分：628；2015年最高分：637，最低分：637，平均分：637；2014年最高分：632，最低分：632，平均分：632
